id,name,lat,lon,city,zip,county,state,data_source,detail,contact,additional_location_info,image_link,exists,address,validation_date,lat_lon,type_fridge,location_type,overhead_protection,outdoors_or_indoors,size,number_shelves,tight_fitting_door,contents,photo,additional_info,validated,width,length,height
14,Free Little Maywood Hills Pantry,47.774757,-122.196958,Bothell,98011,Snohomish,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,mmontano53@msn.com,,http://mapping.littlefreepantry.org/media/pantry_images/86d383d528724cf78192446a0d920228/FF495446-1814-46F5-8FD8-DA2AF21655F2.jpeg,"Yes, it still exists.",20209 108th Ave NE ,2025/01/23 8:34:04 PM GMT+2,47.77478N X 122.19705W,Non-refrigerated,Private residence (e.g. on someone frontyard),"There is an ""integrated"" roof","it's outdoors.  There is a ""top""/roof(?) but no second cover of the type many other outdoor LFPs have","20""T X 25""W X 18""D",2,Yes,Tightly packed with cans and packages on its shelves though there is lots of wasted volume,https://drive.google.com/u/1/open?usp=forms_web&id=1PiyygJ0KdaY016Hwigv39cR9Urv46dOB,On the west sode of 108th adjacent to the side walk and on the north edge of the property,yes,25,18,20
14,Free Little Maywood Hills Pantry,47.774757,-122.196958,Bothell,98011,Snohomish,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,mmontano53@msn.com,,http://mapping.littlefreepantry.org/media/pantry_images/86d383d528724cf78192446a0d920228/FF495446-1814-46F5-8FD8-DA2AF21655F2.jpeg,"Yes, it still exists.",20209 108th Ave NE ,2025/02/18 2:34:03 AM GMT+2,47.77478N X 122.19705W,Non-refrigerated,Private residence (e.g. on someone frontyard),integrated roof,Outdoor without a cover,20 In H X 25 In W X 18 In L,2,Yes,well stocked,https://drive.google.com/u/1/open?usp=forms_web&id=1I6FI4piDW7q0N6XyhnE7-cL88703KbnM,west side of 108th near the sidewalk,yes,25,18,20
15,Kitsap Neighborhood Little Pantries,47.644736,-122.632525,Bremerton,98311,Kitsap,Washington,Kitsap neighborhood little pantries,Shared Pantry,knlp2017@gmail.com,,,NA,1290 NE Steele creek Dr,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
16,CatSupFarms Little Free Library & Food Pantry,47.56224,-122.658766,Bremerton,98312,Kitsap,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,sup@catsupfarms.com,,http://mapping.littlefreepantry.org/media/pantry_images/afd6cebda0e84ffa8f5ad0bf45840840/3E6A96BB-6469-43B8-A058-66B238073260.jpeg,NA,143 S Hartford Ave,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
17,Kitsap neighborhood little pantries,47.567256,-122.645291,Bremerton,98337,Kitsap,Washington,Kitsap neighborhood little pantries,Shared Pantry,knlp2017@gmail.com,,,NA,2005 6th street,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
18,Kitsap Neighborhood Little Pantries,47.62288,-122.609635,Bremerton,98311,Kitsap,Washington,Kitsap neighborhood little pantries,Shared Pantry,knlp2017@gmail.com,located in Kariotis mobile home community,,NA,3060 NE McWilliams Rd,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
19,Summit Avenue Kitsap Neighborhood Little Pantry,47.558388,-122.657328,Bremerton,98312,Kitsap,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,office@summitave.net,,http://mapping.littlefreepantry.org/media/pantry_images/0a1029a48db144528e479b334564eab8/KNLP.jpg,NA,403 S Summit Ave,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
20,Kitsap Neighborhood Little pantries,47.608605,-122.659718,Bremerton,98311,Kitsap,Washington,Kitsap neighborhood little pantries,Shared Pantry,knlp2017@gmail.com,,,NA,701 NW Tracy Ave,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
21,The Little Free Pantry,47.79068,-122.274243,Brier,98036,Snohomish,Washington,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,,NA,22880 Brier Rd,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
22,Building beyond the walls,47.149607,-122.10901,Buckley,98321,Pierce,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,badenochd@yahoo.com,On the right side of 240th Ave ct E in Rainier Heights neighborhood in front of a big tree,http://mapping.littlefreepantry.org/media/pantry_images/718d7e1d11a34193ad513c462ff67417/FF5ABB7E-D011-4FED-BC8A-C0A7B2D9F925.jpeg http://mapping.littlefreepantry.org/media/pantry_images/718d7e1d11a34193ad513c462ff67417/7C5CCC22-66F4-4EA4-8B92-3BE47861F6F8.jpeg,NA,11804 240th Ave Ct E ,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
23,The Little Free Pantry,47.161987,-122.027158,Buckley,98321,Pierce,Washington,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,,NA,151 Cottage St S,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
24,The Little Free Pantry,47.158042,-122.012036,Buckley,98321,Pierce,Washington,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,,NA,393 Partlon St,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
25,The Little Free Pantry,47.500287,-122.360489,Burien,98146,King,Washington,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,https://doc-08-4o-mymaps.googleusercontent.com/untrusted/hostedimage/hhdb5kbpa7oj96mjit7agv4qug/i0utkprar01ctvh3vp2i1r4rq8/1657668333750/BE36q7KSkKfiOTcTr861PT6LU2GXLiZL/17436084610348673502/5AIsG_vZdwSjXa3qmSUrhF7y0xkZvL3Zbq4RXkDFXN7F2StfCkcrydq_8WGEur5VGwJXIBqXMDLDX9RQySFlrjPsh4stKyL3nYZCfC76T4SBz4nKBU53km7JLvjBno1L6bOAfE_NiDd0gnm5yLd0FX1wuOpUhr8rPP75-mecyFsauZGqPzX-k7q3s2A1ckMd6MDNMH6E?session=0&fife=s16383,NA,11423 21st Ave SW,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
26,The Little Free Pantry,47.465298,-122.360506,Burien,98166,King,Washington,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,https://doc-0g-4o-mymaps.googleusercontent.com/untrusted/hostedimage/hhdb5kbpa7oj96mjit7agv4qug/05pkmicuog8ej6ges0ab2sr5q0/1657652187750/BE36q7KSkKfiOTcTr861PT6LU2GXLiZL/17436084610348673502/5AIsG_va0b2yCzvqQpyfV8EcYlHKaARY6mYe8pi4vn3MW9NVckLT5ooolg7XuW6ibXB-H1HL1l-NqEGN9FcgkcSbhC7fK9rMrb3xf7BzrFUhLlVg4mqnsYDDsjPROuXZVxSflX5hrYbNjG6REmmjiFk3EN8CrvSWoqUVCDgQlm1UgYULg9sC92PSlQiKkuQu0nwaEpW8?session=0&fife=s16383,NA,15236 21st Ave SW,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
27,The Little Free Pantry,47.45951,-122.347147,Burien,98166,King,Washington,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,https://doc-00-4o-mymaps.googleusercontent.com/untrusted/hostedimage/hhdb5kbpa7oj96mjit7agv4qug/khb9tkspo7emqlocgq5f05kmls/1657652187750/BE36q7KSkKfiOTcTr861PT6LU2GXLiZL/17436084610348673502/5AIsG_vaQHQMkGej9c7a7FtbeNJ0FcbdtfjEHOTavtEdogJKPx3jh4EcxqYx86NKJGIud2WN9nm2drUf_kCgAtKEvKX2mJHIOBCStU_rnoGaA1pSyHA2QoMtUSiLmzUpcJ310RRCO6FLFEW1HQ0YXv3Xkdex5LEI8hHrGtMQjT3cj6IYRchZ78pXUSN75RgV7ytmKlqxd?session=0&fife=s16383,NA,16012 10th Ave SW,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
28,Little Free Pantry Camano Island,48.21253,-122.478287,Camano Island,98282,Island,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,meganisamazinglyawesome@gmail.com,,http://mapping.littlefreepantry.org/media/pantry_images/221e3e288f3e4ebdb3075d03dc159fe8/8EA103D2-83D7-4EAC-A79D-2209965C3429.jpeg http://mapping.littlefreepantry.org/media/pantry_images/221e3e288f3e4ebdb3075d03dc159fe8/FC8BE77B-00F2-4BCE-A50A-1D2B3D5B7017.jpeg,NA,40 NE Camano Drive,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
29,Centralia First United Methodist Church,46.713157,-122.962115,Centralia,98531,Lewis,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,dlwegener@msn.com,Located behind church building on S. Oak Street,http://mapping.littlefreepantry.org/media/pantry_images/78e7396d56804ae687b32a5a25ef3771/IMG_2152_2.jpg,NA,506 S. Washington Avenue,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
30,Little Free Pantry at the Chimacum Grange,48.01413,-122.776668,Chimacum,98325,Jefferson,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,pantry@jccwp.org,,http://mapping.littlefreepantry.org/media/pantry_images/e88db1f8bcad4cea8456c9c5563d71b1/LFP_PanryCG.jpg,NA,9572 Rhody Drive,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
31,Little Free Pantry-- Clarkston WA,46.411404,-117.044378,Clarkston,99403,Asotin,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,kathy.hay@hotmail.com,In the alley behind the building,http://mapping.littlefreepantry.org/media/pantry_images/ed33584bb7aa46fda82c4e63f77dde27/pantry.jpg,NA,934 5th St,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
32,College Place,46.03834,-118.383907,College Place,99324,Walla Walla,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,vtwineguy@gmail.com,,,NA,308 SE 12th St ,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
33,The Little Free Pantry,48.136649,-122.597165,Coupeville,98239,Island,Washington,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,https://doc-0c-4o-mymaps.googleusercontent.com/untrusted/hostedimage/hhdb5kbpa7oj96mjit7agv4qug/k5gbb3j7fsaugnrsg8ig03ulo4/1657652187750/BE36q7KSkKfiOTcTr861PT6LU2GXLiZL/17436084610348673502/5AIsG_vbqoyYB_QL6UwA7TJA036bMt1mRVE66RQekJDCxcuyV6smLvKkeejxuk6PzIw-jE1YNM4_WYqcxPtWQ-sM8EtLD3-GJj-e7C9ZYZkLgmlIoG9ztNaqV3t5gJ5xRERPgpfzpJgkxCF3G6AIHNIn6qWE46kffxr7RVpuWH7uryV7cKwOYOWyvPlSEB5x-bxvwRcM?session=0&fife=s16383,NA,2020 Pinecrest Ave,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
34,The Little Free Pantry,47.366361,-122.102045,Covington,98042,King,Washington,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,,NA,26201 180th Ave SE,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
35,Dayton First Congregational,46.319592,-117.97645,Dayton,99328,Columbia,Washington,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,http://mapping.littlefreepantry.org/media/pantry_images/24762961ce804018a18bb398d4bf3ecc/FB_IMG_1588286099542.jpg http://mapping.littlefreepantry.org/media/pantry_images/24762961ce804018a18bb398d4bf3ecc/FB_IMG_1588286092711.jpg,NA,214 S 3rd St,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
36,Little Community Pantry - Girl Scout Silver Award,47.37022,-122.317576,Des Moines,98198,King,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,PerezCambronero.EP@gmail.com,,http://mapping.littlefreepantry.org/media/pantry_images/6c7b967da27a4987ba2fef54011959a0/IMG_9186.JPG http://mapping.littlefreepantry.org/media/pantry_images/6c7b967da27a4987ba2fef54011959a0/IMG_9185.JPG,NA,25813 13th Pl S,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
37,3rd Avenue Little Free Pantry,47.742951,-121.980581,Duvall,98109,King,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,jessica@littlefreepantry.org,,,"Yes, it still exists.",15825 3rd Ave NE,2025/02/28 2:36:41 AM GMT+2,47.74274N x 121.98056W,Non-refrigerated,Private residence (e.g. on someone frontyard),Yes,Outdoor without a cover,"16""H x 20""W x 14""L",2,Yes,"a few cans, rice, maccaroni",https://drive.google.com/u/1/open?usp=forms_web&id=1xOsGRyxGYPrK07fpGpUVxHLB95N1CByL,the door has a latch,yes,20,14,16
38,Edmonds Little Free Pantry,47.824875,-122.354086,Edmonds,98026,Snohomish,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,jaideborah@yahoo.com,north of 196th and just off 88th ave,http://mapping.littlefreepantry.org/media/pantry_images/f7fe942d59fc4039a3598b26e066f237/Little_free_pantry.jpg,NA,8912 192nd St SW,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
39,Edmonds Adventist Blessing Box,47.821532,-122.34993,Edmonds,98026,Snohomish,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,fonzfonz3@gmail.com,,http://mapping.littlefreepantry.org/media/pantry_images/a14cea6ac89f41699a17565546a7c5be/USER_SCOPED_TEMP_DATA_orca-image-1442041063.jpeg http://mapping.littlefreepantry.org/media/pantry_images/a14cea6ac89f41699a17565546a7c5be/20201211_181214.jpg,NA,8625 196th ST SW,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
40,Meadowdale Little Free Pantry,47.855781,-122.3058,Edmonds,98026,Snohomish,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,ahollenbach8@hotmail.com,,,NA,15724 53rd Pl W ,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
41,Hope Lutheran Church,47.203497,-122.000269,Enumclaw,98022,King,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,pastorkeithmarshall@gmail.com,,,NA,1316 Garfield St ,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
42,The Little Free Pantry,47.976429,-122.212807,Everett,98201,Snohomish,Washington,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,,NA,Pacific Ave & Grand Ave,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
43,Light of Christ Lutheran Church and Garden,47.293996,-122.361219,Federal Way,98023,King,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,jim.e.cox@comcast.net,Located next to Little Free Library and information kiosk,,NA,34249 21st AVE SW Federal Way,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
44,Wayside United Church of Christ Federal Way,47.321591,-122.36046,Federal Way,98023,King,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,office@waysideucc.org,located in the parking area to the right as you enter the property,http://mapping.littlefreepantry.org/media/pantry_images/3becb0f7ae7e4c07ae7225010c4da927/A1E937FF-2EDE-4456-B873-E3D9729AFBC6.jpeg http://mapping.littlefreepantry.org/media/pantry_images/3becb0f7ae7e4c07ae7225010c4da927/929E3EEC-6798-45BE-9A21-6E400A9FC8A6.jpeg,NA,2000 SW Dash Point Rd,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
45,The United Church of Ferndale Blessing Box,48.850497,-122.592179,Ferndale,98248,Whatcom,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,jconstad@icloud.com,,,NA,2034 Washington St,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
46,19th St. Little Free Pantry,47.242697,-122.517007,Fircrest,98466,Pierce,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,plastinonj@gmail.com,,http://mapping.littlefreepantry.org/media/pantry_images/d25438bf838d4f48a3c719c527e6082a/LittleFreePantry.jpg,NA,1014 Columbia Ave,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
47,The Little Free Pantry,48.056767,-124.348125,Forks,98331,Clallam,Washington,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,,NA,111 Taylor St,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
48,Benji Astrachan,47.860611,-123.934811,Forks,98331,Clallam,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,benji.astrachan@wsu.edu,,,NA,18113 Upper Hoh Rd,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
49,The Little Free Pantry,47.949855,-124.387218,Forks,98331,Clallam,Washington,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,,NA,81 S 2nd Ave,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
50,The Little Free Pantry,47.742228,-124.413419,Forks,98331,Clallam,Washington,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,https://doc-10-4o-mymaps.googleusercontent.com/untrusted/hostedimage/hhdb5kbpa7oj96mjit7agv4qug/8nnlqg6nlpg6qd20u9sqpj0j2g/1657652187750/BE36q7KSkKfiOTcTr861PT6LU2GXLiZL/17436084610348673502/5AIsG_vYoqcNazEzTUU1_caALfm9jVsEm0hH4Q9HVWvuhlu0b_aJubBt63QgDw5NgrLBwkbcdgWYPGQWDgGYn-SBnVKYwf22QgH7E1kIRi2zXcOHpZ1FYB_5DCrB3TYitElMn9us2UPon8OuLBl0eQ0j8tT0TELmM3DNtZ7cfQ0lCU2JZODHx533iNXpymFItWDzgG6w?session=0&fife=s16383,NA,92 Chalaat Loop,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
51,Mariposa House Little Free Pantry,47.949848,-124.387172,Forks,98331,Clallam,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,benji.astrachan@wsu.edu,,http://mapping.littlefreepantry.org/media/pantry_images/840d889b6ee64ea183d14c6141695ac7/Forks_filled_LFP.jpg http://mapping.littlefreepantry.org/media/pantry_images/840d889b6ee64ea183d14c6141695ac7/forks_empty_LFO.jpg,NA,Mariposa House 81 2nd Ave.,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
