ID,NAME,CITY,ZIP,COUNTY,PUGET_SOUND,STATE,POPULATION,LOCATION,NETWORK,DETAIL,CONTACT,ADDITIONAL_LOCATION_INFO,IMAGE_LINK,Timestamp,exists,lat_lon,type,location_desc,overhead,??,size,shelves,door,contents,photo,observation,ADDRESS,LAT,LON,exists_short
10,Lil' Paws Pantry,Bonney Lake,98391.0,Pierce,Yes,Washington,Urban,Western,Little Free Pantry - Mini Pantry Movement,Shared Pantry,Allthingsmindful@yahoo.com,,,,,,,,,,,,,,,,14515 Prairie Ridge Dr E ,47.124407,-122.141882,DONT KNOW
11,Neighborhood Free Pantry & Library,Bonney Lake,98391.0,Pierce,Yes,Washington,Urban,Western,Little Free Pantry - Mini Pantry Movement,Shared Pantry,gaublins@msn.com,,http://mapping.littlefreepantry.org/media/pantry_images/6d4142b5bc6d4fc7b07e356441f5bb36/Pantry_1.jpg http://mapping.littlefreepantry.org/media/pantry_images/6d4142b5bc6d4fc7b07e356441f5bb36/Pantry_2.jpg,,,,,,,,,,,,,,20716 127th St. E.,47.140586000000006,-122.15412499999998,DONT KNOW
12,North Bothell Little Free Pantry,Bothell,98012.0,King,Yes,Washington,Urban,Western,Little Free Pantry - Mini Pantry Movement,Shared Pantry,peony1955@gmail.com,,http://mapping.littlefreepantry.org/media/pantry_images/b626a939cf0b4359967f5e67a01f0c23/bothell.jpeg,,,,,,,,,,,,,,19 199th Pl SE ,47.816669,-122.230939,DONT KNOW
13,Eastside Church Free Pantry,Bothell,98011.0,King,Yes,Washington,Urban,Western,Little Free Pantry - Mini Pantry Movement,Shared Pantry,danielles@eastsidechurch.org,,,2025/01/29 2:59:33 AM GMT+2,"Yes, it still exists.",47.73396N 122.20768W,Non-refrigerated,Non-profit organization (e.g. by a church of food bank),Yes,Outdoor with a cover,"26""H, 25""W, 14""L",2.0,"There are doors, not especially tight and the latch is a little shakey","5 cans, box of maccaroni dinner, pack of stuffing mix",https://drive.google.com/u/1/open?usp=forms_web&id=1RmGLdbtNZiGBTn2WsNqlAuoa-PmAnt7-,"hard to recognize it from 100th Ave  It faces the church parking lot, set back from 100th by ~30 feet",14520 100th Ave. NE,47.733354999999996,-122.20698,YES
14,Free Little Maywood Hills Pantry,Bothell,98011.0,Snohomish,Yes,Washington,Urban,Western,Little Free Pantry - Mini Pantry Movement,Shared Pantry,mmontano53@msn.com,,http://mapping.littlefreepantry.org/media/pantry_images/86d383d528724cf78192446a0d920228/FF495446-1814-46F5-8FD8-DA2AF21655F2.jpeg,2025/01/23 8:34:04 PM GMT+2,"Yes, it still exists.",47.77478N X 122.19705W,Non-refrigerated,Private residence (e.g. on someone frontyard),"There is an ""integrated"" roof","it's outdoors.  There is a ""top""/roof(?) but no second cover of the type many other outdoor LFPs have","20""T X 25""W X 18""D",2.0,Yes,Tightly packed with cans and packages on its shelves though there is lots of wasted volume,https://drive.google.com/u/1/open?usp=forms_web&id=1PiyygJ0KdaY016Hwigv39cR9Urv46dOB,On the west sode of 108th adjacent to the side walk and on the north edge of the property,20209 108th Ave NE ,47.77475700000002,-122.196958,YES
15,Kitsap Neighborhood Little Pantries,Bremerton,98311.0,Kitsap,Yes,Washington,Urban,Western,Kitsap neighborhood little pantries,Shared Pantry,knlp2017@gmail.com,,,,,,,,,,,,,,,,1290 NE Steele creek Dr,47.644735999999995,-122.63252500000002,DONT KNOW
16,CatSupFarms Little Free Library & Food Pantry,Bremerton,98312.0,Kitsap,Yes,Washington,Urban,Western,Little Free Pantry - Mini Pantry Movement,Shared Pantry,sup@catsupfarms.com,,http://mapping.littlefreepantry.org/media/pantry_images/afd6cebda0e84ffa8f5ad0bf45840840/3E6A96BB-6469-43B8-A058-66B238073260.jpeg,,,,,,,,,,,,,,143 S Hartford Ave,47.562239999999996,-122.65876600000001,DONT KNOW
17,Kitsap neighborhood little pantries,Bremerton,98337.0,Kitsap,Yes,Washington,Urban,Western,Kitsap neighborhood little pantries,Shared Pantry,knlp2017@gmail.com,,,,,,,,,,,,,,,,2005 6th street,47.56725600000001,-122.64529100000001,DONT KNOW
18,Kitsap Neighborhood Little Pantries,Bremerton,98311.0,Kitsap,Yes,Washington,Urban,Western,Kitsap neighborhood little pantries,Shared Pantry,knlp2017@gmail.com,located in Kariotis mobile home community,,,,,,,,,,,,,,,3060 NE McWilliams Rd,47.622879999999995,-122.60963499999998,DONT KNOW
19,Summit Avenue Kitsap Neighborhood Little Pantry,Bremerton,98312.0,Kitsap,Yes,Washington,Urban,Western,Little Free Pantry - Mini Pantry Movement,Shared Pantry,office@summitave.net,,http://mapping.littlefreepantry.org/media/pantry_images/0a1029a48db144528e479b334564eab8/KNLP.jpg,,,,,,,,,,,,,,403 S Summit Ave,47.558387999999994,-122.65732799999999,DONT KNOW
20,Kitsap Neighborhood Little pantries,Bremerton,98311.0,Kitsap,Yes,Washington,Urban,Western,Kitsap neighborhood little pantries,Shared Pantry,knlp2017@gmail.com,,,,,,,,,,,,,,,,701 NW Tracy Ave,47.60860499999998,-122.65971800000001,DONT KNOW
21,The Little Free Pantry,Brier,98036.0,Snohomish,Yes,Washington,Urban,Western,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,,,,,,,,,,,,,,,22880 Brier Rd,47.79068000000001,-122.27424300000001,DONT KNOW
22,Building beyond the walls,Buckley,98321.0,Pierce,Yes,Washington,Urban,Western,Little Free Pantry - Mini Pantry Movement,Shared Pantry,badenochd@yahoo.com,On the right side of 240th Ave ct E in Rainier Heights neighborhood in front of a big tree,http://mapping.littlefreepantry.org/media/pantry_images/718d7e1d11a34193ad513c462ff67417/FF5ABB7E-D011-4FED-BC8A-C0A7B2D9F925.jpeg http://mapping.littlefreepantry.org/media/pantry_images/718d7e1d11a34193ad513c462ff67417/7C5CCC22-66F4-4EA4-8B92-3BE47861F6F8.jpeg,,,,,,,,,,,,,,11804 240th Ave Ct E ,47.14960700000002,-122.10901,DONT KNOW
23,The Little Free Pantry,Buckley,98321.0,Pierce,Yes,Washington,Urban,Western,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,,,,,,,,,,,,,,,151 Cottage St S,47.161987000000025,-122.027158,DONT KNOW
24,The Little Free Pantry,Buckley,98321.0,Pierce,Yes,Washington,Urban,Western,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,,,,,,,,,,,,,,,393 Partlon St,47.158041999999995,-122.01203600000001,DONT KNOW
25,The Little Free Pantry,Burien,98146.0,King,Yes,Washington,Urban,Western,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,https://doc-08-4o-mymaps.googleusercontent.com/untrusted/hostedimage/hhdb5kbpa7oj96mjit7agv4qug/i0utkprar01ctvh3vp2i1r4rq8/1657668333750/BE36q7KSkKfiOTcTr861PT6LU2GXLiZL/17436084610348673502/5AIsG_vZdwSjXa3qmSUrhF7y0xkZvL3Zbq4RXkDFXN7F2StfCkcrydq_8WGEur5VGwJXIBqXMDLDX9RQySFlrjPsh4stKyL3nYZCfC76T4SBz4nKBU53km7JLvjBno1L6bOAfE_NiDd0gnm5yLd0FX1wuOpUhr8rPP75-mecyFsauZGqPzX-k7q3s2A1ckMd6MDNMH6E?session=0&fife=s16383,,,,,,,,,,,,,,11423 21st Ave SW,47.500287,-122.360489,DONT KNOW
26,The Little Free Pantry,Burien,98166.0,King,Yes,Washington,Urban,Western,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,https://doc-0g-4o-mymaps.googleusercontent.com/untrusted/hostedimage/hhdb5kbpa7oj96mjit7agv4qug/05pkmicuog8ej6ges0ab2sr5q0/1657652187750/BE36q7KSkKfiOTcTr861PT6LU2GXLiZL/17436084610348673502/5AIsG_va0b2yCzvqQpyfV8EcYlHKaARY6mYe8pi4vn3MW9NVckLT5ooolg7XuW6ibXB-H1HL1l-NqEGN9FcgkcSbhC7fK9rMrb3xf7BzrFUhLlVg4mqnsYDDsjPROuXZVxSflX5hrYbNjG6REmmjiFk3EN8CrvSWoqUVCDgQlm1UgYULg9sC92PSlQiKkuQu0nwaEpW8?session=0&fife=s16383,,,,,,,,,,,,,,15236 21st Ave SW,47.465298,-122.36050600000002,DONT KNOW
27,The Little Free Pantry,Burien,98166.0,King,Yes,Washington,Urban,Western,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,https://doc-00-4o-mymaps.googleusercontent.com/untrusted/hostedimage/hhdb5kbpa7oj96mjit7agv4qug/khb9tkspo7emqlocgq5f05kmls/1657652187750/BE36q7KSkKfiOTcTr861PT6LU2GXLiZL/17436084610348673502/5AIsG_vaQHQMkGej9c7a7FtbeNJ0FcbdtfjEHOTavtEdogJKPx3jh4EcxqYx86NKJGIud2WN9nm2drUf_kCgAtKEvKX2mJHIOBCStU_rnoGaA1pSyHA2QoMtUSiLmzUpcJ310RRCO6FLFEW1HQ0YXv3Xkdex5LEI8hHrGtMQjT3cj6IYRchZ78pXUSN75RgV7ytmKlqxd?session=0&fife=s16383,,,,,,,,,,,,,,16012 10th Ave SW,47.45951000000001,-122.34714700000002,DONT KNOW
28,Little Free Pantry Camano Island,Camano Island,98282.0,Island,Yes,Washington,Rural,Western,Little Free Pantry - Mini Pantry Movement,Shared Pantry,meganisamazinglyawesome@gmail.com,,http://mapping.littlefreepantry.org/media/pantry_images/221e3e288f3e4ebdb3075d03dc159fe8/8EA103D2-83D7-4EAC-A79D-2209965C3429.jpeg http://mapping.littlefreepantry.org/media/pantry_images/221e3e288f3e4ebdb3075d03dc159fe8/FC8BE77B-00F2-4BCE-A50A-1D2B3D5B7017.jpeg,,,,,,,,,,,,,,40 NE Camano Drive,48.21253,-122.47828699999998,DONT KNOW
29,Centralia First United Methodist Church,Centralia,98531.0,Lewis,No,Washington,Rural,Western,Little Free Pantry - Mini Pantry Movement,Shared Pantry,dlwegener@msn.com,Located behind church building on S. Oak Street,http://mapping.littlefreepantry.org/media/pantry_images/78e7396d56804ae687b32a5a25ef3771/IMG_2152_2.jpg,,,,,,,,,,,,,,506 S. Washington Avenue,46.713156999999995,-122.962115,DONT KNOW
30,Little Free Pantry at the Chimacum Grange,Chimacum,98325.0,Jefferson,Yes,Washington,Rural,Western,Little Free Pantry - Mini Pantry Movement,Shared Pantry,pantry@jccwp.org,,http://mapping.littlefreepantry.org/media/pantry_images/e88db1f8bcad4cea8456c9c5563d71b1/LFP_PanryCG.jpg,,,,,,,,,,,,,,9572 Rhody Drive,48.01413,-122.776668,DONT KNOW
31,Little Free Pantry-- Clarkston WA,Clarkston,99403.0,Asotin,No,Washington,Rural,Eastern,Little Free Pantry - Mini Pantry Movement,Shared Pantry,kathy.hay@hotmail.com,In the alley behind the building,http://mapping.littlefreepantry.org/media/pantry_images/ed33584bb7aa46fda82c4e63f77dde27/pantry.jpg,,,,,,,,,,,,,,934 5th St,46.411404,-117.04437800000001,DONT KNOW
32,College Place,College Place,99324.0,Walla Walla,No,Washington,Rural,Eastern,Little Free Pantry - Mini Pantry Movement,Shared Pantry,vtwineguy@gmail.com,,,,,,,,,,,,,,,,308 SE 12th St ,46.038339999999984,-118.383907,DONT KNOW
33,The Little Free Pantry,Coupeville,98239.0,Island,Yes,Washington,Rural,Western,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,https://doc-0c-4o-mymaps.googleusercontent.com/untrusted/hostedimage/hhdb5kbpa7oj96mjit7agv4qug/k5gbb3j7fsaugnrsg8ig03ulo4/1657652187750/BE36q7KSkKfiOTcTr861PT6LU2GXLiZL/17436084610348673502/5AIsG_vbqoyYB_QL6UwA7TJA036bMt1mRVE66RQekJDCxcuyV6smLvKkeejxuk6PzIw-jE1YNM4_WYqcxPtWQ-sM8EtLD3-GJj-e7C9ZYZkLgmlIoG9ztNaqV3t5gJ5xRERPgpfzpJgkxCF3G6AIHNIn6qWE46kffxr7RVpuWH7uryV7cKwOYOWyvPlSEB5x-bxvwRcM?session=0&fife=s16383,,,,,,,,,,,,,,2020 Pinecrest Ave,48.136649,-122.59716500000002,DONT KNOW
34,The Little Free Pantry,Covington,98042.0,King,Yes,Washington,Urban,Western,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,,,,,,,,,,,,,,,26201 180th Ave SE,47.366361000000005,-122.102045,DONT KNOW
35,Dayton First Congregational,Dayton,99328.0,Columbia,No,Washington,Rural,Eastern,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,http://mapping.littlefreepantry.org/media/pantry_images/24762961ce804018a18bb398d4bf3ecc/FB_IMG_1588286099542.jpg http://mapping.littlefreepantry.org/media/pantry_images/24762961ce804018a18bb398d4bf3ecc/FB_IMG_1588286092711.jpg,,,,,,,,,,,,,,214 S 3rd St,46.31959200000001,-117.97645,DONT KNOW
36,Little Community Pantry - Girl Scout Silver Award,Des Moines,98198.0,King,Yes,Washington,Urban,Western,Little Free Pantry - Mini Pantry Movement,Shared Pantry,PerezCambronero.EP@gmail.com,,http://mapping.littlefreepantry.org/media/pantry_images/6c7b967da27a4987ba2fef54011959a0/IMG_9186.JPG http://mapping.littlefreepantry.org/media/pantry_images/6c7b967da27a4987ba2fef54011959a0/IMG_9185.JPG,,,,,,,,,,,,,,25813 13th Pl S,47.37022000000001,-122.317576,DONT KNOW
37,3rd Avenue Little Free Pantry,Duvall,98109.0,King,Yes,Washington,Urban,Western,Little Free Pantry - Mini Pantry Movement,Shared Pantry,jessica@littlefreepantry.org,,,2025/02/28 2:36:41 AM GMT+2,"Yes, it still exists.",47.74274N x 121.98056W,Non-refrigerated,Private residence (e.g. on someone frontyard),Yes,Outdoor without a cover,"16""H x 20""W x 14""L",2.0,Yes,"a few cans, rice, maccaroni",https://drive.google.com/u/1/open?usp=forms_web&id=1xOsGRyxGYPrK07fpGpUVxHLB95N1CByL,the door has a latch,15825 3rd Ave NE,47.742951,-121.980581,YES
38,Edmonds Little Free Pantry,Edmonds,98026.0,Snohomish,Yes,Washington,Urban,Western,Little Free Pantry - Mini Pantry Movement,Shared Pantry,jaideborah@yahoo.com,north of 196th and just off 88th ave,http://mapping.littlefreepantry.org/media/pantry_images/f7fe942d59fc4039a3598b26e066f237/Little_free_pantry.jpg,,,,,,,,,,,,,,8912 192nd St SW,47.82487499999999,-122.354086,DONT KNOW
39,Edmonds Adventist Blessing Box,Edmonds,98026.0,Snohomish,Yes,Washington,Urban,Western,Little Free Pantry - Mini Pantry Movement,Shared Pantry,fonzfonz3@gmail.com,,http://mapping.littlefreepantry.org/media/pantry_images/a14cea6ac89f41699a17565546a7c5be/USER_SCOPED_TEMP_DATA_orca-image-1442041063.jpeg http://mapping.littlefreepantry.org/media/pantry_images/a14cea6ac89f41699a17565546a7c5be/20201211_181214.jpg,,,,,,,,,,,,,,8625 196th ST SW,47.821532,-122.34993,DONT KNOW
40,Meadowdale Little Free Pantry,Edmonds,98026.0,Snohomish,Yes,Washington,Urban,Western,Little Free Pantry - Mini Pantry Movement,Shared Pantry,ahollenbach8@hotmail.com,,,,,,,,,,,,,,,,15724 53rd Pl W ,47.85578100000001,-122.3058,DONT KNOW
41,Hope Lutheran Church,Enumclaw,98022.0,King,Yes,Washington,Urban,Western,Little Free Pantry - Mini Pantry Movement,Shared Pantry,pastorkeithmarshall@gmail.com,,,,,,,,,,,,,,,,1316 Garfield St ,47.20349700000001,-122.00026900000002,DONT KNOW
42,The Little Free Pantry,Everett,98201.0,Snohomish,Yes,Washington,Urban,Western,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,,,,,,,,,,,,,,,Pacific Ave & Grand Ave,47.97642900000001,-122.21280700000001,DONT KNOW
43,Light of Christ Lutheran Church and Garden,Federal Way,98023.0,King,Yes,Washington,Urban,Western,Little Free Pantry - Mini Pantry Movement,Shared Pantry,jim.e.cox@comcast.net,Located next to Little Free Library and information kiosk,,,,,,,,,,,,,,,34249 21st AVE SW Federal Way,47.293996,-122.361219,DONT KNOW
44,Wayside United Church of Christ Federal Way,Federal Way,98023.0,King,Yes,Washington,Urban,Western,Little Free Pantry - Mini Pantry Movement,Shared Pantry,office@waysideucc.org,located in the parking area to the right as you enter the property,http://mapping.littlefreepantry.org/media/pantry_images/3becb0f7ae7e4c07ae7225010c4da927/A1E937FF-2EDE-4456-B873-E3D9729AFBC6.jpeg http://mapping.littlefreepantry.org/media/pantry_images/3becb0f7ae7e4c07ae7225010c4da927/929E3EEC-6798-45BE-9A21-6E400A9FC8A6.jpeg,,,,,,,,,,,,,,2000 SW Dash Point Rd,47.321591000000005,-122.36046,DONT KNOW
45,The United Church of Ferndale Blessing Box,Ferndale,98248.0,Whatcom,Yes,Washington,Urban,Western,Little Free Pantry - Mini Pantry Movement,Shared Pantry,jconstad@icloud.com,,,,,,,,,,,,,,,,2034 Washington St,48.85049700000001,-122.592179,DONT KNOW
46,19th St. Little Free Pantry,Fircrest,98466.0,Pierce,Yes,Washington,Urban,Western,Little Free Pantry - Mini Pantry Movement,Shared Pantry,plastinonj@gmail.com,,http://mapping.littlefreepantry.org/media/pantry_images/d25438bf838d4f48a3c719c527e6082a/LittleFreePantry.jpg,,,,,,,,,,,,,,1014 Columbia Ave,47.242697000000014,-122.517007,DONT KNOW
47,The Little Free Pantry,Forks,98331.0,Clallam,No,Washington,Rural,Western,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,,,,,,,,,,,,,,,111 Taylor St,48.056766999999994,-124.348125,DONT KNOW
48,Benji Astrachan,Forks,98331.0,Clallam,No,Washington,Rural,Western,Little Free Pantry - Mini Pantry Movement,Shared Pantry,benji.astrachan@wsu.edu,,,,,,,,,,,,,,,,18113 Upper Hoh Rd,47.860611,-123.934811,DONT KNOW
49,The Little Free Pantry,Forks,98331.0,Clallam,No,Washington,Rural,Western,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,,,,,,,,,,,,,,,81 S 2nd Ave,47.949855000000014,-124.38721800000002,DONT KNOW
50,The Little Free Pantry,Forks,98331.0,Clallam,No,Washington,Rural,Western,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,https://doc-10-4o-mymaps.googleusercontent.com/untrusted/hostedimage/hhdb5kbpa7oj96mjit7agv4qug/8nnlqg6nlpg6qd20u9sqpj0j2g/1657652187750/BE36q7KSkKfiOTcTr861PT6LU2GXLiZL/17436084610348673502/5AIsG_vYoqcNazEzTUU1_caALfm9jVsEm0hH4Q9HVWvuhlu0b_aJubBt63QgDw5NgrLBwkbcdgWYPGQWDgGYn-SBnVKYwf22QgH7E1kIRi2zXcOHpZ1FYB_5DCrB3TYitElMn9us2UPon8OuLBl0eQ0j8tT0TELmM3DNtZ7cfQ0lCU2JZODHx533iNXpymFItWDzgG6w?session=0&fife=s16383,,,,,,,,,,,,,,92 Chalaat Loop,47.742228,-124.413419,DONT KNOW
51,Mariposa House Little Free Pantry,Forks,98331.0,Clallam,No,Washington,Rural,Western,Little Free Pantry - Mini Pantry Movement,Shared Pantry,benji.astrachan@wsu.edu,,http://mapping.littlefreepantry.org/media/pantry_images/840d889b6ee64ea183d14c6141695ac7/Forks_filled_LFP.jpg http://mapping.littlefreepantry.org/media/pantry_images/840d889b6ee64ea183d14c6141695ac7/forks_empty_LFO.jpg,,,,,,,,,,,,,,Mariposa House 81 2nd Ave.,47.94984799999998,-124.387172,DONT KNOW
52,Beaver Little Free Pantry,Forks,98331.0,Clallam,No,Washington,Rural,Western,Little Free Pantry - Mini Pantry Movement,Shared Pantry,benji.astrachan@wsu.edu,,,,,,,,,,,,,,,,W Lake Pleasant Rd & Taylor St,48.056723999999996,-124.34753299999998,DONT KNOW
53,Sharkee Feeds Her World,Greenacres,99016.0,Spokane,No,Washington,Urban,Eastern,Little Free Pantry - Mini Pantry Movement,Shared Pantry,duckydooacre@outlook.com,Blue and brown food pantry next to the road,http://mapping.littlefreepantry.org/media/pantry_images/9a92d5739c9345d19c6228d5b06f6ab8/271827632_10158756005058299_2220879437571619424_n.jpg,,,,,,,,,,,,,,18820 E Sprague Ave,47.656856,-117.15144800000002,DONT KNOW
54,Little Free Pantry Ilwaco WA,Ilwaco,98624.0,Pacific,No,Washington,Rural,Western,Little Free Pantry - Mini Pantry Movement,Shared Pantry,pprinfo.wa@gmail.com,,,,,,,,,,,,,,,,405 1st Avenue North Ilwaco,46.31401599999999,-124.04299700000001,DONT KNOW
55,Little Free Pantry,Kenmore,98028.0,King,Yes,Washington,Urban,Western,Little Free Pantry - Mini Pantry Movement,Shared Pantry,camilla.schulte@gmail.com,,http://mapping.littlefreepantry.org/media/pantry_images/439b8b806e1e40b6be2635d4843b2114/littlefreepantry1.jpg,2025/01/29 2:35:55 AM GMT+2,"Yes, it still exists.",47.73876N 122.23719W,Non-refrigerated,Private residence (e.g. on someone frontyard),Yes,Outdoor with a cover,"30"" W, 24"" H, 19""L",2.0,Yes,"maccaroni, oatmeal, dri beans, few cans of fruit, lots of jars baby food, cubby is dog treats",https://drive.google.com/u/1/open?usp=forms_web&id=1N6Taf13I9aD59JXgIfNSx2CnjmOyWcfV,clearly visible from the road,15209 78th Ave NE,47.73875700000001,-122.237264,YES
56,The Little Free Pantry,Kenmore,98028.0,King,Yes,Washington,Urban,Western,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,,,,,,,,,,,,,,,18118 73rd Ave NE,47.759355000000006,-122.24361800000001,DONT KNOW
